Name,ID,-11,-9,-7,-5,-3,-1,-0.5,0,0.5,1,3,5,7,9,11,13
RHP1,Cre06.g284100,22.28,39.33,44.79,47.01,47.65,43.89,51.11,50.82,24.2,45.37,44.53,37.71,33.07,31.61,19.12,23.53
FAP113,Cre07.g321400,8.1,9.52,15.17,27.6,30.39,15.7,35.23,34.12,22.44,14.52,3.37,2.61,2.27,2.47,2.84,3.97
LCI34,Cre03.g191300,8.89,16.05,18.29,21.68,21.11,23.31,29.72,29.04,2.04,0.74,1.41,3.87,4.33,3.94,1.88,13.31
EPYC1,Cre10.g436550,24.55,3.75,53.8,203.25,356.12,353.72,511.07,475.2,299.31,115.64,159.39,240.77,180.09,46.09,26.62,9.09
SBE3,Cre10.g444700,18.16,14.91,28.98,55.63,101.23,124.95,153.04,146.53,121.57,27.54,42.78,89.3,85.61,49.29,31.65,14.91
STT7,Cre02.g120250,0.77,0.75,3.23,10.31,32.47,41.18,52.71,53.2,35.03,17.56,19.05,21.35,17.25,8.16,3.25,0.26
Cre09.g394621,Cre09.g394621,2.62,4.08,5.56,7.69,9.02,8.91,10.9,11.51,12,6.24,3.62,3.19,3.42,3.72,4.5,2.92
Cre16.g692901,Cre16.g692901,13.51,17.17,18.89,26.99,35.22,32.03,36.75,38.27,42.98,18.34,16.01,8.79,2.59,2.62,8.52,15.87
(CCM1),Cre02.g096300,2.78,3.86,4.38,5.42,6.65,4.34,7.46,8.64,10.96,5.11,3.65,3.53,2.39,1.32,2.71,3.38
Cre16.g663400,Cre16.g663400,5.04,7.79,27.78,54.82,70.17,65.3,82.95,96.04,130.86,46.28,24.76,21.1,15.75,13.63,26.57,5.02
LCI11,Cre16.g663450,20.7,15.26,49.53,96.28,115.36,134.41,154.23,165.47,193.42,45.97,68.73,106.09,81.09,85.46,55.6,31.65
RCA1,Cre04.g229300,132.6,39.9,169.27,426.12,734.66,877.41,1105.8,1057.41,1361.25,655.67,536.82,578.25,357.93,113.08,85.75,47.07
Cre06.g271850,Cre06.g271850,0.73,1.72,2.34,3.1,3.9,4.14,6.14,5.36,13.31,7.85,2.37,1.91,1.27,0.72,0.73,0.63
Cre09.g416850,Cre09.g416850,3.14,3.39,2.96,4.73,6.66,8.01,9.61,9.75,21.77,9.37,5.19,4.26,2.01,1.42,3.83,3.43
LCIB,Cre10.g452800,23.43,9.92,46.23,148.02,258.89,240.39,398.62,532.99,1156.03,366.74,130.56,143.37,87.66,43.31,55.05,5.83
Cre16.g655050,Cre16.g655050,1.06,0.86,1.28,2.32,3.18,3.64,4.98,6.5,11.64,4.35,3.6,5.38,6.26,3.5,2.4,1.08
STA2,Cre17.g721500,27.58,2.19,10.4,47.77,100.58,110.39,158.46,170.15,419.88,248.45,130.9,144.53,142.98,52.25,39,10.25
(ACA4),Cre10.g459200,32.58,33.13,37.09,58.95,89.77,95.8,125.27,141.72,336.28,176.28,83.17,88.41,64.75,20.75,30.82,19.58
Cre16.g657350,Cre16.g657350,23.73,20.98,17.43,17.24,18.99,14.54,18.73,18.71,48.56,33.8,18.85,18.08,15.49,14.89,20.25,18
CPLD54,Cre16.g687450,2.4,2.37,4.35,6.83,8.75,7.19,9.93,11.1,20.13,9.55,6.44,7.65,6.92,4.57,5.01,2.17
SUFB1,Cre15.g643600,3.36,3.95,4.72,5.9,7.12,3.66,7.13,8.51,15.79,9.49,7.77,6.23,5.09,2.89,3.31,2.46
Cre17.g729800,Cre17.g729800,15.22,13.63,22.32,30.13,35.65,32.51,40.47,39.66,89.19,84.5,76.55,58.95,28.92,15.16,13.51,13.75
FTT1,Cre12.g559250,175.52,127.72,130.52,119.77,116.46,63.67,95.14,101.21,264.25,131.41,191.1,178.29,199.94,140.36,178.72,162.29
(MRP2),Cre17.g734612,43.19,16.31,27.65,41.36,55.64,60.25,74.52,75.25,293.32,225.07,70,52.27,33.47,29.44,58.75,31.56
LCIC,Cre06.g307500,14.4,7.76,62.34,188.1,293.94,378.15,477.48,586.8,2202.41,1120.51,693.85,583.27,225.53,62.9,53.66,2.22
TAB2,Cre17.g702500,7.58,3.29,7.49,13.6,21.63,20.09,24.85,26.5,131.17,65.68,65.84,52.49,28.27,13.14,12.36,2.33
Cre07.g339750,Cre07.g339750,0.44,1.3,2.05,3.2,3.86,2.65,4.93,6.49,27.86,9.43,4.26,2.84,2.32,1.11,1.79,0.41
Cre14.g613950,Cre14.g613950,11.85,19.12,20.27,19.59,17.16,10.07,12.33,14.75,63.11,18.14,10.44,12.62,10.06,6.9,8.59,9.57
Cre16.g662600,Cre16.g662600,0.61,0.37,0.84,3.75,15.55,41.26,56.69,81.9,502.68,122.81,74.41,61.07,36.87,22.38,25.09,0.63
Cre01.g053950,Cre01.g053950,0.07,0.04,0.03,0.05,0.16,0.38,0.92,1.7,27.23,8.89,5.03,6.09,6.28,2.88,1.61,0.01
CYG63,Cre05.g236650,0.06,0.05,0.05,0.16,0.51,1.25,1.84,2.27,12.77,4.02,1.66,1.91,1.44,1.37,0.77,0.07
CGL30,Cre03.g198950,0.93,0.05,0.63,1.52,3.3,2.76,3.41,4.16,20.86,12.53,4.23,6.07,7,3.7,1.92,0.79
CCP2,Cre04.g222750,2.46,1.26,1.16,1.16,1.19,2.73,4.25,13.71,1712.35,802.27,282.19,294.38,253.43,193.47,54.29,1.55
Cre04.g225050,Cre04.g225050,0.72,1.45,2.24,2.83,3.42,2.51,2.88,3.17,25.22,13.61,4.07,3.56,3.18,1.35,1.6,0.35
CAH3,Cre09.g415700,75.1,41.32,23.7,32.58,41.45,46.53,58.31,65.51,687.65,400.17,215.15,145.07,47.47,17.97,71.09,74.54
Cre02.g142146,Cre02.g142146,18.66,7.57,23,34.23,39.8,32.76,40.43,39.42,543.07,388.35,86.47,81.47,46.6,28.74,26.16,7.81
Cre02.g093750,Cre02.g093750,1.39,0.85,0.7,0.63,0.51,0.49,0.49,0.58,15.61,14.34,1.57,4.1,3.7,1.63,1.36,0.99
LCID,Cre04.g222800,0.35,0.2,0.5,0.89,1.54,3.35,4.96,10.23,159.33,97.12,64.56,76.35,62.17,35.92,6.76,0.3
CEM1,Cre06.g260250,3.31,2.55,3.06,3.65,3.82,3.65,4.42,4.17,51.41,32.77,23.71,19.27,15.55,10.48,9.94,1.58
LCIA,Cre06.g309000,0.74,0.34,0.37,0.49,1.06,5.19,9.44,21.05,668.4,343.57,327.82,433.56,367.58,157.95,12.36,0.5
LCI9,Cre09.g394473,5.85,0.23,0.17,0.33,0.48,1.58,3.08,3.88,132.43,100.12,47.93,67.38,49.48,20.42,5.47,2.28
HCF136,Cre06.g273700,34.32,25.18,40.46,46.2,44.56,41.88,46.42,46.09,339.36,342.13,150.97,140.28,67.53,45.13,41.41,23.3
CMP1,Cre08.g358580,24.09,27.76,53,67.14,61.46,39.68,48.61,44.95,141,147.17,73.03,65.58,37.65,20.07,14.33,18.8
TEF9,Cre12.g519300,19.6,5.08,5.46,6.37,8.18,7.29,8.42,8.28,171.36,199.19,119.11,95.21,53,23.08,17.77,7.94
Cre19.g750547,Cre19.g750547,13.56,11.63,9.16,8.52,8.58,6.33,8.52,8.67,30.56,37.23,22.05,17.38,13.41,9.75,10.18,11.03
DEG11,Cre12.g498500,3.38,1.12,2.82,2.68,2.43,1.69,1.93,2.44,10.07,24.15,5.1,7.87,8.12,3.44,2.85,1.79
CPLD12,Cre17.g739550,1.17,0.11,0.44,1.56,2.59,1.9,2.2,2.66,15.02,12.96,11.75,10.86,6.87,2.64,1.1,0.5
HLA3,Cre02.g097800,1.25,1,0.86,0.94,0.88,1.54,3.67,7.22,270.07,201.06,177.26,229.98,240.18,118.11,15.5,1.35
LCIE,Cre04.g223250,0.07,0.04,0.03,0.07,0.07,0.12,0.09,0.2,28.35,18.71,23.99,28.42,16.97,6.23,0.43,0.04
