,Genes,dark11,dark11.1,dark11.2,dark9,dark9.1,dark9.2,dark7,dark7.1,dark7.2,dark5,dark5.1,dark5.2,dark3,dark3.1,dark3.2,dark1,dark1.1,dark1.2,dark0.5,dark0.5.1,dark0.5.2,X0,X0.1,X0.2,light0.5,light0.5.1,light0.5.2,light1,light1.1,light1.2,light3,light3.1,light3.2,light5,light5.1,light5.2,light7,light7.1,light7.2,light9,light9.1,light9.2,light11,light11.1,light11.2,light13,light13.1,light13.2
1,Cre01.g005150,147.3810471,559.8211606,180.9622169,124.0491971,140.7283214,101.8017435,223.6146832,503.4478217,288.800839,653.0790568,722.2351537,788.1070466,975.5500602,1204.571813,1129.59405,757.5747418,942.0704932,1057.767709,969.3337203,1267.266407,1441.98224,1151.788864,1273.883905,1835.774896,462.7088743,2592.621186,837.151812,132.8754694,138.0127883,91.63404169,252.3226526,802.4903585,334.7924173,991.2478032,1064.566693,532.1405097,748.056033,942.7408579,431.2592875,345.7018727,610.6299477,379.9808472,548.9939599,437.8034839,523.8006047,224.5328359,159.9637361,411.4772505
2,Cre01.g014000,806.4312373,311.1283805,540.796118,118.8726499,260.314591,103.5415349,294.8377524,342.5174319,186.2963546,370.9297671,510.2000514,259.8664035,449.2705091,501.1068908,311.1881469,483.2017298,504.2120975,434.8539024,521.7107211,513.9742318,362.7677757,523.7986072,537.5658416,336.7564292,2047.572767,1416.562028,1253.664558,2665.940614,1589.749895,2485.47779,3822.290733,2985.884503,3265.906838,2786.027419,2417.484281,2633.372444,1285.005699,1219.51083,1242.175976,747.6153002,625.2965387,582.6351597,543.3344087,461.1305996,491.1806309,213.8603965,381.4012799,111.4305741
3,Cre01.g022500,164.808773,83.15351956,117.4161684,134.5926137,215.2771448,122.1465921,154.7490956,166.792784,148.5754138,134.7969158,135.6954639,128.6239662,117.3328387,129.809866,113.4407973,133.2964297,105.3884846,104.1696263,111.3491586,97.16986494,87.07658662,87.14522195,90.37694423,72.03169508,98.79542211,64.72277184,97.4092736,94.16550327,46.5346236,77.08217117,232.9875944,225.177248,279.3108034,210.5895927,242.50923,275.9423106,131.3383837,96.45324293,136.631168,169.0586571,138.4585418,144.2958847,94.29183848,103.4339879,100.8065051,83.02387448,144.2329268,49.37001197
4,Cre01.g022600,104.9651167,92.7551619,82.47170968,53.88188372,117.9343388,34.95024642,117.9065172,152.2778847,85.03083434,133.3204322,175.0209703,95.90840304,175.4363519,172.7884095,124.8205315,193.2706151,197.7410732,185.0662063,219.326788,174.5024844,166.846998,195.3511959,173.4627523,181.0602169,243.9102028,217.0425567,279.4287482,181.0969049,122.6096112,182.7809775,494.6406753,398.5079807,575.4941087,484.6729295,383.0078287,555.3262372,448.4534188,366.1150932,440.981526,359.2869831,368.3771739,372.966278,202.7226923,226.3807822,264.8783514,73.30219956,56.74208172,53.32430539
5,Cre01.g038400,1568.252589,3629.01212,2609.343003,146.8525821,344.7416948,71.9125466,165.8816841,225.0543595,62.71404938,78.37823385,157.4569285,40.66074497,42.9209871,89.20411504,30.14641158,90.10318528,94.17542455,38.46700988,95.17941341,107.4807516,36.7419823,67.9782991,88.80710114,47.68300896,1303.585819,537.9980322,363.062431,2247.571517,994.8919519,1082.129294,15516.46764,11233.75408,13601.30742,14395.15837,8226.729614,12251.84915,11069.92733,7676.541057,8880.613548,7301.836966,7501.795445,6621.727395,4386.804895,4935.131873,5603.654023,694.4110167,518.7706879,399.6025564
6,Cre01.g053950,11.38789899,5.747938342,5.009946527,7.023438138,4.397580967,7.43798021,0,2.332927128,4.786235338,0,5.038197246,7.176970453,8.745995037,11.9930197,16.8014296,25.21698488,52.05202304,19.24055011,36.02893336,99.00141835,39.49229378,71.6872466,190.1770881,77.14405072,1110.447825,2510.806715,1388.532396,742.8326656,650.4755886,630.6818542,181.7451055,589.6517665,308.5265775,249.3077608,632.5730233,348.7403845,292.7163064,600.483689,405.7626439,84.84067664,264.731398,240.4771033,63.01080034,92.15206843,167.0798301,0.014754219,0.007419578,2.938183519
7,Cre01.g054700,79.01969423,66.63258687,96.45663659,144.1542423,178.4137343,114.7423701,177.8999819,154.0931113,129.5750876,137.8971736,130.7888652,102.2202397,135.5710899,120.3022669,93.35366582,101.6478268,111.9136747,107.1948597,98.7787349,86.73832403,90.53752375,84.25267762,75.13792187,95.81780855,37.66180326,42.8092166,39.12565619,18.16247664,8.63731172,19.00049401,87.87140038,52.05187115,67.12294192,120.4125428,64.96318226,82.40471116,80.76268264,51.89654587,83.72015965,117.9388248,68.95268145,71.57760811,65.00279072,85.76234887,84.01111081,93.62368895,110.3155907,84.36548529
8,Cre01.g054850,1043.914639,524.629664,326.2961783,744.1526292,893.0063783,660.4601568,465.0616674,716.7620088,562.4456901,499.3601792,527.8838586,492.1929791,490.7492314,551.7232772,408.304819,350.0795791,286.3295699,418.6440202,268.0647121,320.7396095,370.0139754,300.6056724,307.9913076,409.2697082,357.2504541,432.5898908,131.8079632,501.4945768,452.7195313,204.8576198,788.2233204,684.9842321,204.8542468,553.9993423,570.3146858,171.2249273,421.2916475,372.5442514,139.0014073,330.438858,249.2686764,146.6789708,539.8379528,350.319195,143.2469466,419.2175926,754.7933879,396.6960405
9,Cre02.g086850,56.04729379,64.03263218,12.91091078,70.71974228,48.16420286,72.33401585,31.04871143,84.71633077,71.60914449,49.25180831,68.00297728,62.79822585,62.38187444,119.9111484,71.0436776,44.70773071,47.82200386,73.79447392,42.91328961,64.78565444,90.22415954,48.70727319,70.71377953,119.8572669,150.6438394,314.1358157,90.24878161,277.2098419,161.6944063,63.10314382,173.2342599,267.5959468,75.80211074,167.1143714,198.1470143,52.50808179,157.6873931,140.6932911,29.18904528,44.38963615,80.3447213,31.99844441,73.68010055,71.85485476,29.60996071,18.29914739,58.70608596,51.4537808
10,Cre02.g088950,83.69407,54.05516733,68.96314706,68.14657118,68.93006275,74.14086896,78.46658701,60.49613502,46.09058273,52.55440019,65.73232006,33.91044655,60.64743805,48.08735952,37.00060745,42.22764851,62.65329141,41.47453928,44.83221338,52.18567168,36.34267454,41.12438775,58.59767168,45.7505179,222.1000954,156.6335317,222.3215347,201.6041145,188.0926802,280.7759968,131.9485276,110.549738,192.9308929,122.1503475,101.462206,170.3589382,118.636009,115.3006439,191.4042239,118.8055662,95.46224767,131.9115248,114.2184728,74.41003281,97.84274573,52.1399495,56.71299077,52.37660686
