Cre ID,Gene number
Cre01.g000017,1
Cre01.g000033,2
Cre01.g000050,3
Cre01.g000100,4
Cre01.g000150,5
Cre01.g000200,6
Cre01.g000250,7
Cre01.g000300,8
Cre01.g000350,9
Cre01.g000400,10
Cre01.g000450,11
Cre01.g000500,12
Cre01.g000550,13
Cre01.g000600,14
Cre01.g000650,15
Cre01.g000700,16
Cre01.g000750,17
Cre01.g000800,18
Cre01.g000850,19
Cre01.g000900,20
Cre01.g000950,21
Cre01.g001000,22
Cre01.g001100,23
Cre01.g001150,24
Cre01.g001200,25
Cre01.g001250,26
Cre01.g001300,27
Cre01.g001350,28
Cre01.g001400,29
Cre01.g001450,30
Cre01.g001501,31
Cre01.g001550,32
Cre01.g001600,33
Cre01.g001650,34
Cre01.g001657,35
Cre01.g001664,36
Cre01.g001671,37
Cre01.g001678,38
Cre01.g001685,39
Cre01.g001700,40
Cre01.g001750,41
Cre01.g001800,42
Cre01.g001950,43
Cre01.g001983,44
Cre01.g002050,45
Cre01.g002100,46
Cre01.g002150,47
Cre01.g002200,48
Cre01.g002201,49
Cre01.g002203,50
Cre01.g002227,51
Cre01.g002234,52
Cre01.g002250,53
Cre01.g002300,54
Cre01.g002350,55
Cre01.g002400,56
Cre01.g002451,57
Cre01.g002500,58
Cre01.g002550,59
Cre01.g002600,60
Cre01.g002650,61
Cre01.g002700,62
Cre01.g002750,63
Cre01.g002787,64
Cre01.g002824,65
Cre01.g002861,66
Cre01.g002900,67
Cre01.g002950,68
Cre01.g003000,69
Cre01.g003050,70
Cre01.g003100,71
Cre01.g003150,72
Cre01.g003200,73
Cre01.g003250,74
Cre01.g003300,75
Cre01.g003376,76
Cre01.g003450,77
Cre01.g003463,78
Cre01.g003475,79
Cre01.g003487,80
Cre01.g003500,81
Cre01.g003508,82
Cre01.g003516,83
Cre01.g003524,84
Cre01.g003532,85
Cre01.g003541,86
Cre01.g003550,87
Cre01.g003600,88
Cre01.g003650,89
Cre01.g003700,90
Cre01.g003751,91
Cre01.g003800,92
Cre01.g003826,93
Cre01.g003850,94
Cre01.g003950,95
Cre01.g004000,96
Cre01.g004050,97
Cre01.g004124,98
Cre01.g004157,99
Cre01.g004200,100
Cre01.g004250,101
Cre01.g004300,102
Cre01.g004350,103
Cre01.g004400,104
Cre01.g004450,105
Cre01.g004500,106
Cre01.g004550,107
Cre01.g004600,108
Cre01.g004651,109
Cre01.g004700,110
Cre01.g004750,111
Cre01.g004800,112
Cre01.g004850,113
Cre01.g004900,114
Cre01.g004926,115
Cre01.g004950,116
Cre01.g005001,117
Cre01.g005050,118
Cre01.g005100,119
Cre01.g005126,120
Cre01.g005150,121
Cre01.g005200,122
Cre01.g005250,123
Cre01.g005300,124
Cre01.g005350,125
Cre01.g005400,126
Cre01.g005450,127
Cre01.g005500,128
Cre01.g005534,129
Cre01.g005543,130
Cre01.g005550,131
Cre01.g005600,132
Cre01.g005651,133
Cre01.g005701,134
Cre01.g005750,135
Cre01.g005813,136
Cre01.g005850,137
Cre01.g005900,138
Cre01.g005950,139
Cre01.g006000,140
Cre01.g006050,141
Cre01.g006100,142
Cre01.g006150,143
Cre01.g006202,144
Cre01.g006250,145
Cre01.g006301,146
Cre01.g006352,147
Cre01.g006402,148
Cre01.g006450,149
Cre01.g006500,150
Cre01.g006550,151
Cre01.g006576,152
Cre01.g006600,153
Cre01.g006614,154
Cre01.g006628,155
Cre01.g006642,156
Cre01.g006656,157
Cre01.g006670,158
Cre01.g006700,159
Cre01.g006733,160
Cre01.g006766,161
Cre01.g006800,162
Cre01.g006850,163
Cre01.g006876,164
Cre01.g006900,165
Cre01.g006950,166
Cre01.g007000,167
Cre01.g007050,168
Cre01.g007051,169
Cre01.g007100,170
Cre01.g007150,171
Cre01.g007200,172
Cre01.g007251,173
Cre01.g007300,174
Cre01.g007350,175
Cre01.g007400,176
Cre01.g007450,177
Cre01.g007500,178
Cre01.g007550,179
Cre01.g007600,180
Cre01.g007651,181
Cre01.g007700,182
Cre01.g007737,183
Cre01.g007774,184
Cre01.g007811,185
Cre01.g007850,186
Cre01.g007901,187
Cre01.g007950,188
Cre01.g008000,189
Cre01.g008051,190
Cre01.g008100,191
Cre01.g008150,192
Cre01.g008200,193
Cre01.g008250,194
Cre01.g008300,195
Cre01.g008350,196
Cre01.g008402,197
Cre01.g008450,198
Cre01.g008500,199
Cre01.g008550,200
Cre01.g008600,201
Cre01.g008650,202
Cre01.g008700,203
Cre01.g008750,204
Cre01.g008800,205
Cre01.g008850,206
Cre01.g008891,207
Cre01.g008900,208
Cre01.g008950,209
Cre01.g008976,210
Cre01.g009000,211
Cre01.g009025,212
Cre01.g009050,213
Cre01.g009101,214
Cre01.g009150,215
Cre01.g009200,216
Cre01.g009250,217
Cre01.g009300,218
Cre01.g009325,219
Cre01.g009350,220
Cre01.g009400,221
Cre01.g009450,222
Cre01.g009500,223
Cre01.g009550,224
Cre01.g009575,225
Cre01.g009601,226
Cre01.g009650,227
Cre01.g009676,228
Cre01.g009700,229
Cre01.g009731,230
Cre01.g009765,231
Cre01.g009800,232
Cre01.g009850,233
Cre01.g009900,234
Cre01.g009950,235
Cre01.g010000,236
Cre01.g010050,237
Cre01.g010100,238
Cre01.g010150,239
Cre01.g010201,240
Cre01.g010250,241
Cre01.g010296,242
Cre01.g010300,243
Cre01.g010350,244
Cre01.g010400,245
Cre01.g010450,246
Cre01.g010500,247
Cre01.g010550,248
Cre01.g010650,249
Cre01.g010700,250
Cre01.g010750,251
Cre01.g010800,252
Cre01.g010816,253
Cre01.g010832,254
Cre01.g010848,255
Cre01.g010864,256
Cre01.g010880,257
Cre01.g010900,258
Cre01.g010950,259
Cre01.g011000,260
Cre01.g011050,261
Cre01.g011100,262
Cre01.g011150,263
Cre01.g011200,264
Cre01.g011250,265
Cre01.g011300,266
Cre01.g011350,267
Cre01.g011376,268
Cre01.g011400,269
Cre01.g011450,270
Cre01.g011500,271
Cre01.g011550,272
Cre01.g011600,273
Cre01.g011630,274
Cre01.g011660,275
Cre01.g011750,276
Cre01.g011800,277
Cre01.g011850,278
Cre01.g011901,279
Cre01.g011950,280
Cre01.g012000,281
Cre01.g012050,282
Cre01.g012100,283
Cre01.g012126,284
Cre01.g012150,285
Cre01.g012175,286
Cre01.g012200,287
Cre01.g012222,288
Cre01.g012244,289
Cre01.g012300,290
Cre01.g012350,291
Cre01.g012400,292
Cre01.g012450,293
Cre01.g012500,294
Cre01.g012550,295
Cre01.g012600,296
Cre01.g012650,297
Cre01.g012700,298
Cre01.g012750,299
Cre01.g012800,300
Cre01.g012850,301
Cre01.g012900,302
Cre01.g012950,303
Cre01.g013000,304
Cre01.g013050,305
Cre01.g013100,306
Cre01.g013150,307
Cre01.g013200,308
Cre01.g013250,309
Cre01.g013300,310
Cre01.g013350,311
Cre01.g013400,312
Cre01.g013450,313
Cre01.g013500,314
Cre01.g013550,315
Cre01.g013600,316
Cre01.g013650,317
Cre01.g013700,318
Cre01.g013750,319
Cre01.g013769,320
Cre01.g013800,321
Cre01.g013801,322
Cre01.g013850,323
Cre01.g013900,324
Cre01.g014000,325
Cre01.g014050,326
Cre01.g014100,327
Cre01.g014150,328
Cre01.g014200,329
Cre01.g014250,330
Cre01.g014300,331
Cre01.g014350,332
Cre01.g014400,333
Cre01.g014450,334
Cre01.g014500,335
Cre01.g014600,336
Cre01.g014650,337
Cre01.g014700,338
Cre01.g014751,339
Cre01.g014800,340
Cre01.g014850,341
Cre01.g014900,342
Cre01.g014950,343
Cre01.g015000,344
Cre01.g015050,345
Cre01.g015100,346
Cre01.g015103,347
Cre01.g015150,348
Cre01.g015200,349
Cre01.g015250,350
Cre01.g015300,351
Cre01.g015350,352
Cre01.g015400,353
Cre01.g015451,354
Cre01.g015500,355
Cre01.g015550,356
Cre01.g015600,357
Cre01.g015650,358
Cre01.g015700,359
Cre01.g015750,360
Cre01.g015850,361
Cre01.g015950,362
Cre01.g016001,363
Cre01.g016050,364
Cre01.g016100,365
Cre01.g016150,366
Cre01.g016200,367
Cre01.g016250,368
Cre01.g016300,369
Cre01.g016350,370
Cre01.g016400,371
Cre01.g016450,372
Cre01.g016500,373
Cre01.g016514,374
Cre01.g016528,375
Cre01.g016542,376
Cre01.g016556,377
Cre01.g016570,378
Cre01.g016600,379
Cre01.g016651,380
Cre01.g016700,381
Cre01.g016750,382
Cre01.g016800,383
Cre01.g016850,384
Cre01.g016900,385
Cre01.g016950,386
Cre01.g017050,387
Cre01.g017100,388
Cre01.g017150,389
Cre01.g017200,390
Cre01.g017250,391
Cre01.g017300,392
Cre01.g017350,393
Cre01.g017400,394
Cre01.g017450,395
Cre01.g017500,396
Cre01.g017550,397
Cre01.g017600,398
Cre01.g017650,399
Cre01.g017701,400
Cre01.g017750,401
Cre01.g017850,402
Cre01.g017900,403
Cre01.g017951,404
Cre01.g018000,405
Cre01.g018050,406
Cre01.g018075,407
Cre01.g018100,408
Cre01.g018150,409
Cre01.g018184,410
Cre01.g018200,411
Cre01.g018350,412
Cre01.g018400,413
Cre01.g018450,414
Cre01.g018500,415
Cre01.g018550,416
Cre01.g018600,417
Cre01.g018650,418
Cre01.g018700,419
Cre01.g018750,420
Cre01.g018800,421
Cre01.g018850,422
Cre01.g018900,423
Cre01.g018950,424
Cre01.g019000,425
Cre01.g019051,426
Cre01.g019100,427
Cre01.g019150,428
Cre01.g019200,429
Cre01.g019250,430
Cre01.g019300,431
Cre01.g019400,432
Cre01.g019450,433
Cre01.g019500,434
Cre01.g019550,435
Cre01.g019600,436
Cre01.g019650,437
Cre01.g019700,438
Cre01.g019750,439
Cre01.g019850,440
Cre01.g019900,441
Cre01.g019950,442
Cre01.g020000,443
Cre01.g020050,444
Cre01.g020100,445
Cre01.g020141,446
Cre01.g020182,447
Cre01.g020223,448
Cre01.g020264,449
Cre01.g020305,450
Cre01.g020350,451
Cre01.g020400,452
Cre01.g020450,453
Cre01.g020500,454
Cre01.g020575,455
Cre01.g020650,456
Cre01.g020701,457
Cre01.g020750,458
Cre01.g020751,459
Cre01.g020800,460
Cre01.g020850,461
Cre01.g020887,462
Cre01.g020918,463
Cre01.g020950,464
Cre01.g021000,465
Cre01.g021050,466
Cre01.g021100,467
Cre01.g021150,468
Cre01.g021200,469
Cre01.g021251,470
Cre01.g021300,471
Cre01.g021350,472
Cre01.g021400,473
Cre01.g021450,474
Cre01.g021500,475
Cre01.g021550,476
Cre01.g021600,477
Cre01.g021650,478
Cre01.g021700,479
Cre01.g021750,480
Cre01.g021800,481
Cre01.g021850,482
Cre01.g021900,483
Cre01.g021950,484
Cre01.g022000,485
Cre01.g022050,486
Cre01.g022100,487
Cre01.g022150,488
Cre01.g022200,489
Cre01.g022250,490
Cre01.g022283,491
Cre01.g022350,492
Cre01.g022400,493
Cre01.g022450,494
Cre01.g022462,495
Cre01.g022500,496
Cre01.g022550,497
Cre01.g022600,498
Cre01.g022650,499
Cre01.g022666,500
Cre01.g022681,501
Cre01.g022700,502
Cre01.g022750,503
Cre01.g022800,504
Cre01.g022850,505
Cre01.g022900,506
Cre01.g022950,507
Cre01.g023000,508
Cre01.g023050,509
