Gene_ID	Family
Cre01.g000050	Nin-like
Cre01.g004600	Nin-like
Cre01.g011150	bHLH
Cre01.g012200	SBP
Cre01.g012200	SBP
Cre01.g025050	GATA
Cre01.g033900	SBP
Cre01.g033900	SBP
Cre01.g043550	SBP
Cre01.g051174	bZIP
Cre01.g052300	E2F/DP
Cre01.g070932	SBP
Cre02.g079200	NF-YB
Cre02.g085150	SBP
Cre02.g085150	SBP
Cre02.g091550	Whirly
Cre02.g104700	SBP
Cre02.g109683	bHLH
Cre02.g110150	SBP
Cre02.g112750	SBP
Cre03.g149350	Nin-like
Cre03.g149400	Nin-like
Cre03.g153050	Nin-like
Cre03.g160600	GATA
Cre03.g160700	GATA
Cre03.g163200	NF-X1
Cre03.g177700	Nin-like
Cre03.g184600	Nin-like
Cre03.g193900	NF-YC
Cre04.g212700	SBP
Cre04.g216200	bHLH
Cre04.g216204	bHLH
Cre04.g218050	Nin-like
Cre04.g218050	Nin-like
Cre04.g224600	bHLH
Cre04.g228400	WRKY
Cre04.g228400	WRKY
Cre05.g233551	SBP
Cre05.g238250	bZIP
Cre05.g241636	bHLH
Cre05.g242600	GATA
Cre06.g266850	GATA
Cre06.g266950	GATA
Cre06.g275550	Nin-like
Cre06.g278229	SBP
Cre06.g285600	Nin-like
Cre06.g285600	Nin-like
Cre06.g291500	Nin-like
Cre06.g297150	Nin-like
Cre06.g300600	SBP
Cre06.g310500	bZIP
Cre07.g318050	bZIP
Cre07.g319701	GATA
Cre07.g321550	bZIP
Cre07.g323000	E2F/DP
Cre07.g325738	SBP
Cre07.g332250	bHLH
Cre07.g335150	SBP
Cre07.g341800	NF-YB
Cre07.g344668	bZIP
Cre07.g345050	SBP
Cre07.g349152	bHLH
Cre07.g349152	bHLH
Cre07.g353555	bHLH
Cre07.g354500	HSF
Cre08.g358532	GATA
Cre08.g358534	GATA
Cre08.g361400	CPP
Cre08.g378450	GATA
Cre08.g378800	GATA
Cre09.g386753	S1Fa-like
Cre09.g387150	HSF
Cre09.g387850	Nin-like
Cre09.g390023	SBP
Cre09.g399289	SBP
Cre09.g413050	bZIP
Cre10.g421550	SBP
Cre10.g421550	SBP
Cre10.g433350	SBP
Cre10.g435450	GATA
Cre10.g438850	bZIP
Cre10.g453500	Nin-like
Cre10.g454850	bZIP
Cre11.g467581	GATA
Cre11.g467581	GATA
Cre11.g481800	CPP
Cre12.g489000	bZIP
Cre12.g501600	bZIP
Cre12.g510200	bZIP
Cre12.g521150	Dof
Cre12.g538550	GATA
Cre12.g550250	CPP
Cre12.g556400	NF-YC
Cre12.g557300	bZIP
Cre13.g568350	bZIP
