ID	ID Type	Name	Family	Source	Transcription factor	Transcription regulator	Stress/Process
Cre17.g734564	Phytozome v5	MTHI1		DOI: 10.1105/tpc.19.00770 	Yes	No	Biogenesis of chloroplast ATP synthase - Target: ATPC
Cre12.g495100	Phytozome v5	PSR1	G2-like	DOI: 10.1105/tpc.19.00179 	Yes	No	Cell growth via TORC1 signaling
Cre06.g278159	Phytozome v5	CON1	CONSTANS	"DOI: 10.1038/s41467-019-11989-x , doi: 10.1155/2015/715020"	Yes	No	Protective response in photosynthesis
Cre12.g556400	Phytozome v5	-	NF-Ys	DOI: 10.1038/s41467-019-11989-x 	Yes	No	
Cre08.g375400	Phytozome v5	GSM1	HB	DOI: 10.1111/tpj.14486 	Yes	No	Gene expression control
Cre02.g109650	Phytozome v5	GSP1	HB	DOI: 10.1111/tpj.14486 	Yes	No	Gene expression control
Cre03.g197100	Phytozome v5	LRL1	Myb	doi: 10.1111/tpj.14473	Yes	No	Phosphorus depletion response
Cre12.g521150	Phytozome v5	CGL19	DOF	doi: 10.1186/s13068-019-1403-1. 10.1016/j.jbiotec.2014.05.003	Yes	No	Lipid metabolism
Cre05.g238250	Phytozome v5	CrbZIP1	bZIP	doi: 10.1105/tpc.18.00723	Yes	No	Lipid Remodeling
Cre07.g341300	Phytozome v5	XAP5		DOI: 10.1073/pnas.1719206115 	Yes	No	Flagellar assembly
Cre09.g387150	Phytozome v5	HSF1	HSF	DOI: 10.1105/tpc.111.085266 	Yes	No	Chromatin Remodeling
Cre02.g096300	Phytozome v5	CCM1/ CIA5		doi:10.1073/pnas.081593498	Yes	No	CCM
Cre09.g399552	Phytozome v5	LCR1	Myb	doi: 10.1105/tpc.021162	Yes	No	CCM
Cre16.g673250	Phytozome v5	NRR1	SBP	DOI 10.1074/jbc.M111.334052	Yes	No	Triglycerol accumulation under Nitrogen starvation
Cre02.g085050	Phytozome v5	CrHY5		doi:10.1101/2020.02.10.942334	Yes	No	Act as a light switch for photoprotection
Cre17.g741300	Phytozome v5	SAK1	bZIP	doi: 10.7554/eLife.02286	Yes	No	Regulator of acclimation of singlet oxygen
Cre02.g125250	Phytozome v5	CRR1	SBP	doi: 10.1104/pp.112.200162	Yes	No	Regulate HYDA1 gene
Cre08.g381950	Phytozome v5	TAR1		DOI:10.1104/pp.15.00319	Yes	No	Triglycerol production in N and S starvation
-	Phytozome v5	LTS3		10.1134/S1021443714020034	Yes	No	Regulate Magnsium chelatase
Cre04.g228400	Phytozome v5	WRK1	WRKY	doi:10.1186/1471-2148-5-1	Yes	No	
